تغلب على;Überwindung, Sieg über
منتصر;siegreich
خطير;gefährlich
توفي;gestorben
هزيمة / هزائم;Niederlage
شرطة;Polizei
مقاتل;Kämpfer
رجل المقاومة;Widerstandskämpfer
فدائي;Kommando
استشهادي;Selbstmordattentäter
إرهابي;Terrorist
مسلح;Kämpfer
متمرد;Aufständischer, Rebell
ناشط;Aktivist
جندي / جنود;Soldat
عسكري / عساكر;einfacher Soldat, Grenadier
فجّر;sprengen
نفّذ;ausführen
أطلق النار على;Feuer eröffnen
هجم / هجوم;angreifen
هجمة / ات;Angriff
اعتدى على;überfallen, angreifen
شنّ الهجوم;angreifen
دمّر;zerstören
ألحق أضراراب;schweren Schaden verursachen
مقتل;Ermordung, Töten
مصرع;Ermordung, Töten
مجزرة / مجازر;Massaker
اغتال;ermorden
عملية;Operation, Mission
اشتباك;Scharmützel
مواجهة;Konfrontation 
مصادمة;Kampfhandlung, Zusammenstoß
معركة / معارك;Kampf, Schlacht
قصف;Bombardierung 
غارة;Überfall, Razzia 
حرب / حروب;Krieg
حرب أحلية;Bürgerkrieg
احتل;besetzen
مسدس / ات;Pistole
بندقية / بنادق;Gewehr
قنبلة موقوتة;Bombe mit Zeitzünder
عبوة ناسفة;Sprengkörper
سيارة مفخخة;Autobombe
صاروخ / صواريخ;Rakete
لغم / ألغام;Mine
ضحية / ضحايا;Opfer
قتيل  / قتلى;Toter
لقي مصرعه;sterben
لقي حتفه;sterben